0.004	0.287	6.670	20.550	9.869	25.000	0.000	-0.305
-0.097	0.283	6.670	20.580	9.869	25.000	0.000	-0.305
-0.402	0.275	6.670	20.580	9.869	25.000	0.000	-0.305
-0.592	0.267	6.670	20.560	9.869	25.000	0.000	-0.305
-0.757	0.257	6.670	20.570	9.869	25.000	0.000	-0.305
-1.005	0.243	6.670	20.570	9.869	25.000	0.000	-0.305
-1.160	0.229	6.670	20.550	9.869	25.000	0.000	-0.305
-1.320	0.215	6.670	20.560	9.869	25.000	0.000	-0.305
-1.400	0.201	6.670	20.570	9.869	25.000	0.000	0.406
-1.482	0.183	6.670	20.550	9.869	25.000	0.000	0.406
-1.565	0.166	6.670	20.550	9.869	25.000	0.000	0.406
-1.565	0.152	6.670	20.570	9.869	25.000	0.000	0.406
-1.565	0.138	6.670	20.560	9.869	25.000	0.000	0.406
-1.482	0.124	6.670	20.550	9.869	25.000	0.000	0.406
-1.400	0.110	6.670	20.570	9.869	25.000	0.000	0.406
-1.320	0.099	6.670	20.570	9.869	25.000	0.000	0.406
-1.320	0.085	6.670	20.570	9.869	25.000	0.000	0.406
-1.240	0.074	6.670	20.570	9.869	25.000	0.000	0.406
-1.160	0.064	6.670	20.580	9.869	25.000	0.000	0.406
-1.160	0.053	6.670	20.570	9.869	25.000	0.000	0.406
-1.080	0.042	6.670	20.570	9.869	25.000	0.000	0.406
-1.080	0.031	6.670	20.580	9.869	25.000	0.000	0.406
-1.080	0.020	6.670	20.560	9.869	25.000	0.000	0.406
-1.000	0.013	6.670	20.560	9.869	25.000	0.000	0.406
-1.000	0.002	6.670	20.570	9.869	25.000	0.000	0.406
-0.920	-0.006	6.670	20.580	9.869	25.000	0.000	0.406
-0.840	-0.013	6.670	20.570	9.869	25.000	0.000	0.406
-0.840	-0.021	6.670	20.580	9.869	25.000	0.000	0.406
-0.760	-0.028	6.670	20.580	9.869	25.000	0.000	0.406
-0.765	-0.036	6.670	20.560	9.869	25.000	0.000	0.406
